crn|class limits|cur enroll|xlist act 1|xlist act 2|xlist act 3
16997|5|0|||
16998|5|0|||
16999|5|0|||
17000|5|0|||
17001|5|0|||
17002|5|0|||
17003|5|0|||
17004|5|0|||
17005|5|0|||
17006|5|0|||
17007|5|0|||
17008|5|0|||
17009|5|0|||
17010|5|0|||
17011|5|0|||
17012|5|0|||
17013|5|0|||
17014|5|0|||
17015|5|0|||
17016|5|0|||
17017|5|0|||
17018|5|0|||
17019|5|0|||
17020|5|0|||
17021|30|18|||
17029|5|0|||
17030|5|0|||
17032|5|0|||
17033|5|0|||
17034|5|0|||
17035|5|0|||
17036|5|0|||
17037|5|0|||
17038|5|0|||
17039|5|0|||
17041|5|0|||
17042|5|0|||
17044|5|0|||
17045|5|0|||
17046|5|1|||
17047|5|0|||
17048|5|0|||
17049|5|0|||
17050|5|0|||
17051|5|0|||
17053|5|0|||
17055|5|0|||
17057|999|0|||
17060|999|0|||
17061|999|1|||
17062|999|2|||
17063|999|2|||
17064|999|0|||
17065|999|3|||
17066|999|0|||
17067|999|3|||
17068|999|2|||
17070|999|1|||
17073|999|0|||
17074|999|2|||
17075|999|1|||
17076|999|1|||
17077|999|1|||
17078|999|0|||
17079|999|1|||
17080|999|0|||
17081|999|1|||
17085|40|33|||
17086|24|23|||
17087|24|19|||
17088|24|23|||
17089|40|40|||
17090|20|20|||
17103|40|38|||
17104|20|19|||
17105|20|19|||
17116|5|0|||
17117|6|2|||
17118|5|2|||
17119|5|3|||
17120|5|2|||
17122|2|0|||
17123|2|0|||
17124|2|0|||
17125|2|1|||
17126|2|0|||
17144|16|6|||
17148|50|38|||
17154|999|13|||
17155|999|3|||
17175|15|9|||
17177|5|0|||
17178|5|0|||
17179|5|0|||
17180|5|0|||
17187|35|20|||
17193|999|7|||
17195|999|0|||
17196|999|0|||
17197|999|0|||
17198|999|0|||
17200|999|0|||
17201|999|0|||
17202|999|0|||
17204|999|0|||
17205|999|0|||
17206|999|0|||
17235|999|2|||
17236|999|0|||
17250|999|0|||
17251|999|0|||
17252|999|0|||
17255|999|1|||
17256|999|0|||
17257|999|0|||
17262|45|45|||
17262|45|45|||
17263|45|45|||
17263|45|45|||
17265|38|37|||
17265|38|37|||
17266|32|31|||
17266|32|31|||
17273|999|0|||
17277|15|9|||
17286|10|8|||
17299|15|0|||
17300|16|16|||
17302|40|40|||
17303|25|22|||
17309|5|0|||
17310|5|0|||
17371|5|0|||
17372|5|0|||
17374|5|0|||
17375|5|0|||
